Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	56/764	2.323779e-11	7.138650e-08	0	0	3.007094e+00	7.362941e+01	ACVRL1;RARG;CDKN1B;CELF1;CHD5;TCIRG1;FOXM1;CRKL;SHH;STK11;AKT2;ADORA3;AKT1;TIMP1;SOX9;CD33;RPS9;MAP2K1;POU1F1;MATK;TSC2;GAB2;AXIN2;CBFA2T3;WDR77;HCK;RAF1;UHRF1;PDGFB;TBRG4;GHRHR;MNT;GRK5;NACC1;STAT6;UTP20;MCTS1;JAG2;STAT5A;ZBTB17;CHTOP;JUP;INSR;STAT3;IL4;MLXIPL;FER;APC;DLG3;SST;DNAJA3;BCL6B;PTPN6;FAM98A;FGFR4;IL7R
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	37/496	4.221418e-08	6.484097e-05	0	0	2.990128e+00	5.077390e+01	ACVRL1;DDR1;PNCK;MAST2;PDGFB;ACVR1B;LIPE;STK11;GRK5;AKT2;RPS6KA1;MAP3K20;AKT1;STK38L;PRKACA;PRKACB;EPHB3;MAP2K1;INSR;TNK1;MATK;DYRK1B;EIF2AK4;BAZ1B;SRPK1;HCK;FER;LCK;CCNE1;DGKQ;PKN2;PTPN6;CDK12;TEK;FGFR4;CSNK1G2;MAP3K11
GO_Biological_Process_2021	phosphorylation (GO:0016310)	31/400	2.338969e-07	2.015607e-04	0	0	3.094778e+00	4.725226e+01	ACVRL1;DGKE;MAST2;PDGFB;ACVR1B;LIPE;STK11;GRK5;MAP3K20;AKT1;STK38L;PRKACA;PRKACB;MAP2K1;INSR;STAT3;TNK1;MATK;DYRK1B;EIF2AK4;SRPK1;HCK;FER;LCK;CCNE1;DGKQ;SHPK;PKN2;CDK12;CSNK1G2;MAP3K11
GO_Biological_Process_2021	positive regulation of cellular process (GO:0048522)	41/625	2.624488e-07	2.015607e-04	0	0	2.607415e+00	3.951071e+01	CDKN1B;CELF1;BRAT1;HPN;PDGFB;TCIRG1;FOXM1;CRKL;TBRG4;GHRHR;SHH;GRK5;AKT2;NACC1;RPS6KA1;AKT1;TIMP1;SOX9;PRODH;MCTS1;RPS9;CHTOP;SPAG5;INSR;TFE3;MATK;GAB2;AXIN2;WDR77;IL4;MLXIPL;HCK;MMP14;FER;APC;PTPN6;FAM98A;FGFR4;IL7R;HDGFL2;EIF4G2
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	29/404	2.692058e-06	1.654001e-03	0	0	2.836944e+00	3.638438e+01	DDR1;HPN;PDGFB;TCIRG1;AP2A2;NCSTN;EFNB3;POLR2A;AKT2;AKT1;SH2B2;EPHB3;CAV2;INSR;STAT3;TNK1;TSC2;GTF2F1;COL1A1;HCK;FER;EFNA2;APC;LCK;AXL;ATP6V1B2;LCP2;TEK;FGFR4
GO_Biological_Process_2021	spliceosomal complex assembly (GO:0000245)	9/46	3.691204e-06	1.889896e-03	0	0	8.745045e+00	1.093966e+02	SRPK3;SF3A1;PRPF6;CELF1;SNRPD1;DDX23;SNRNP200;CRNKL1;SRPK1
GO_Biological_Process_2021	negative regulation of cell population proliferation (GO:0008285)	27/379	6.822450e-06	2.994081e-03	0	0	2.806475e+00	3.338384e+01	ACVRL1;RARG;CDKN1B;CELF1;HPN;CHD5;MNT;STK11;ADORA3;HMOX1;UTP20;SOX9;EMD;CD33;ZBTB17;MAP2K1;POU1F1;TSC2;AXIN2;CBFA2T3;MED25;DLG3;APC;SST;DNAJA3;PTPN6;RAF1
GO_Biological_Process_2021	positive regulation of cell population proliferation (GO:0008284)	31/474	8.226270e-06	3.158888e-03	0	0	2.567820e+00	3.006450e+01	PDGFB;TCIRG1;FOXM1;CRKL;TBRG4;GHRHR;SHH;GRK5;AKT2;NACC1;AKT1;HMOX1;TIMP1;SOX9;MCTS1;RPS9;CHTOP;INSR;MATK;GAB2;WDR77;IL4;MLXIPL;HCK;FER;S100A6;PTPN6;FAM98A;FGFR4;IL7R;NES
GO_Biological_Process_2021	chemical synaptic transmission (GO:0007268)	23/306	1.387986e-05	4.737658e-03	0	0	2.961641e+00	3.312617e+01	SYT5;GRIK5;STXBP2;GRIK3;CACNA1B;SLC1A2;SLC1A3;SLC1A6;LIN7B;GRM3;CACNB3;SST;DNAJC5;RPS6KA1;KCNN1;UNC119;DLGAP1;APOE;PRKACA;CALM1;PRKACB;PPFIA3;GRIA3
GO_Biological_Process_2021	peptidyl-tyrosine phosphorylation (GO:0018108)	10/69	1.776334e-05	5.456899e-03	0	0	6.097921e+00	6.670134e+01	DDR1;IL4;HCK;FER;LCK;INSR;PDGFB;PTPN6;TEK;FGFR4
GO_Biological_Process_2021	protein autophosphorylation (GO:0046777)	15/159	3.361632e-05	9.388122e-03	0	0	3.766191e+00	3.879364e+01	DDR1;INSR;TNK1;EIF2AK4;ACVR1B;HCK;STK11;FER;GRK5;AKT1;CDK12;TEK;FGFR4;MAP3K11;EPHB3
GO_Biological_Process_2021	circulatory system development (GO:0072359)	13/126	4.389951e-05	1.123828e-02	0	0	4.150608e+00	4.164557e+01	ACVRL1;CDKN1B;TCF25;PDGFB;TSC2;SMG9;CRIP1;HDAC9;STK11;SHH;SOX9;TEK;BORCS8
GO_Biological_Process_2021	regulation of mast cell degranulation (GO:0043304)	5/16	5.200549e-05	1.228930e-02	0	0	1.624332e+01	1.602267e+02	IL4;FER;STXBP2;GAB2;LGALS9
GO_Biological_Process_2021	regulation of inflammatory response (GO:0050727)	17/206	5.738625e-05	1.259218e-02	0	0	3.256693e+00	3.180391e+01	CELF1;NR1H3;IL17RA;IL4;HCK;MAPK7;DDT;LPCAT3;SHPK;BCL6B;CCL3;APOE;DNASE1;TEK;GGT1;SNX6;PPARD
GO_Biological_Process_2021	anoikis (GO:0043276)	4/9	6.340284e-05	1.298490e-02	0	0	2.854459e+01	2.759120e+02	STK11;AKT1;TSC2;IKBKG
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	21/300	9.088202e-05	1.744935e-02	0	0	2.733056e+00	2.543368e+01	DDR1;COL26A1;ITGA3;NCAN;ITGB2;PDGFB;LOXL3;PLOD3;NID1;COL1A1;ADAMTS4;BCAN;MMP14;CDH1;HAS1;COL5A3;COL6A1;ITGB7;TIMP1;ITGA5;CD44
GO_Biological_Process_2021	L-glutamate transmembrane transport (GO:0015813)	4/10	1.033781e-04	1.868103e-02	0	0	2.378593e+01	2.182863e+02	SLC25A18;SLC1A2;SLC1A3;SLC1A6
GO_Biological_Process_2021	peptidyl-tyrosine modification (GO:0018212)	8/56	1.364518e-04	2.328778e-02	0	0	5.977511e+00	5.319709e+01	HCK;FER;LCK;INSR;PDGFB;PTPN6;TEK;FGFR4
GO_Biological_Process_2021	protein import (GO:0017038)	10/89	1.627888e-04	2.470615e-02	0	0	4.549447e+00	3.968509e+01	PEX19;CSE1L;PEX5;TPR;STAT3;AKT1;TSC2;APOE;IPO4;KPNB1
GO_Biological_Process_2021	insulin receptor signaling pathway (GO:0008286)	9/73	1.686810e-04	2.470615e-02	0	0	5.048698e+00	4.386057e+01	FER;APC;CAV2;AKT2;INSR;ATP6V1B2;AKT1;TCIRG1;SH2B2
GO_Biological_Process_2021	heart development (GO:0007507)	14/164	1.782813e-04	2.470615e-02	0	0	3.367153e+00	2.906576e+01	ACVRL1;CDKN1B;TCF25;INSR;PDGFB;TSC2;SMG9;CRIP1;HDAC9;SHH;SOX9;TEK;BORCS8;MEF2D
GO_Biological_Process_2021	L-aspartate transmembrane transport (GO:0070778)	3/5	1.973970e-04	2.470615e-02	0	0	5.343132e+01	4.557848e+02	SLC1A2;SLC1A3;SLC1A5
GO_Biological_Process_2021	endodermal cell differentiation (GO:0035987)	6/32	2.053549e-04	2.470615e-02	0	0	8.255419e+00	7.009487e+01	MMP14;CTR9;ITGB2;COL6A1;PAF1;ITGA5
GO_Biological_Process_2021	regulation of cell cycle (GO:0051726)	20/296	2.126637e-04	2.470615e-02	0	0	2.626640e+00	2.221034e+01	ZBTB17;MAP2K1;CDKN1B;STAT3;PRCC;TSC2;FOXM1;SND1;TBRG4;MLXIPL;MED25;STK11;GRK5;APC;AKT2;MAP3K20;HBP1;SOX9;PRKACA;EIF4G2
GO_Biological_Process_2021	regulation of cholesterol metabolic process (GO:0090181)	5/21	2.162394e-04	2.470615e-02	0	0	1.116441e+01	9.421782e+01	SEC14L2;DGKQ;LPCAT3;APOE;KPNB1
GO_Biological_Process_2021	establishment of protein localization to organelle (GO:0072594)	9/76	2.301890e-04	2.470615e-02	0	0	4.821891e+00	4.039110e+01	PEX19;CSE1L;TPR;STAT3;AKT1;TSC2;HK2;IPO4;KPNB1
GO_Biological_Process_2021	protein import into nucleus (GO:0006606)	9/76	2.301890e-04	2.470615e-02	0	0	4.821891e+00	4.039110e+01	RANBP2;CSE1L;TPR;STAT3;KPNA6;AKT1;TSC2;IPO4;KPNB1
GO_Biological_Process_2021	cellular response to insulin stimulus (GO:0032869)	12/129	2.303929e-04	2.470615e-02	0	0	3.692690e+00	3.092895e+01	FER;APC;INSIG2;CAV2;AKT2;INSR;ATP6V1B2;AKT1;INPP5K;TCIRG1;HDAC9;SH2B2
GO_Biological_Process_2021	regulation of alcohol biosynthetic process (GO:1902930)	4/12	2.332287e-04	2.470615e-02	0	0	1.783761e+01	1.491847e+02	SEC14L2;DGKQ;LPCAT3;KPNB1
