Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	protein export from nucleus (GO:0006611)	4/27	2.827854e-05	3.314245e-02	0	0	2.696332e+01	2.823978e+02	NUP214;RANBP3;TGFB1;CALR
GO_Biological_Process_2021	regulation of proteasomal protein catabolic process (GO:0061136)	4/54	4.440231e-04	1.466563e-01	0	0	1.238625e+01	9.561732e+01	PSMC3;FMR1;ARAF;RAD23A
GO_Biological_Process_2021	nucleotide-excision repair (GO:0006289)	5/105	6.611257e-04	1.466563e-01	0	0	7.782677e+00	5.698139e+01	PNKP;ERCC1;POLR2E;RAD23A;GTF2H4
GO_Biological_Process_2021	termination of RNA polymerase I transcription (GO:0006363)	3/30	1.001433e-03	1.466563e-01	0	0	1.708958e+01	1.180261e+02	CAVIN1;POLR2E;GTF2H4
GO_Biological_Process_2021	regulation of gene silencing by miRNA (GO:0060964)	4/67	1.007359e-03	1.466563e-01	0	0	9.823909e+00	6.778913e+01	NUP214;TGFB1;FMR1;POLR2E
GO_Biological_Process_2021	rRNA base methylation (GO:0070475)	2/8	1.179376e-03	1.466563e-01	0	0	5.092821e+01	3.433972e+02	NSUN5;BUD23
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	4/70	1.186840e-03	1.466563e-01	0	0	9.375947e+00	6.316070e+01	NDUFA9;NDUFA11;NDUFS3;SDHD
GO_Biological_Process_2021	transcription initiation from RNA polymerase I promoter (GO:0006361)	3/32	1.211711e-03	1.466563e-01	0	0	1.590938e+01	1.068430e+02	CAVIN1;POLR2E;GTF2H4
GO_Biological_Process_2021	positive regulation of telomere maintenance (GO:0032206)	3/32	1.211711e-03	1.466563e-01	0	0	1.590938e+01	1.068430e+02	PNKP;ERCC1;HNRNPA2B1
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	4/71	1.251333e-03	1.466563e-01	0	0	9.235541e+00	6.172616e+01	NDUFA9;NDUFA11;NDUFS3;SDHD
GO_Biological_Process_2021	transcription by RNA polymerase I (GO:0006360)	3/34	1.447881e-03	1.468197e-01	0	0	1.488147e+01	9.728990e+01	CAVIN1;POLR2E;GTF2H4
GO_Biological_Process_2021	cytoplasmic pattern recognition receptor signaling pathway in response to virus (GO:0039528)	2/10	1.879092e-03	1.468197e-01	0	0	3.819231e+01	2.397318e+02	CLPB;IRF3
GO_Biological_Process_2021	ESCRT complex disassembly (GO:1904896)	2/10	1.879092e-03	1.468197e-01	0	0	3.819231e+01	2.397318e+02	CHMP1A;CHMP2B
GO_Biological_Process_2021	ESCRT III complex disassembly (GO:1904903)	2/10	1.879092e-03	1.468197e-01	0	0	3.819231e+01	2.397318e+02	CHMP1A;CHMP2B
GO_Biological_Process_2021	positive regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901838)	2/10	1.879092e-03	1.468197e-01	0	0	3.819231e+01	2.397318e+02	SMARCB1;PWP1
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	3/39	2.158792e-03	1.514863e-01	0	0	1.281137e+01	7.863883e+01	NDUFA9;NDUFA11;NDUFS3
GO_Biological_Process_2021	anaphase-promoting complex-dependent catabolic process (GO:0031145)	4/84	2.326581e-03	1.514863e-01	0	0	7.729687e+00	4.686784e+01	CDC20;PSMB4;PSMC3;CUL3
GO_Biological_Process_2021	nuclear export (GO:0051168)	4/84	2.326581e-03	1.514863e-01	0	0	7.729687e+00	4.686784e+01	NUP214;RANBP3;TGFB1;CALR
GO_Biological_Process_2021	regulation of nucleocytoplasmic transport (GO:0046822)	2/13	3.215132e-03	1.983229e-01	0	0	2.777203e+01	1.594083e+02	NUP214;TGFB1
GO_Biological_Process_2021	regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901836)	2/14	3.734825e-03	2.025463e-01	0	0	2.545641e+01	1.423027e+02	SMARCB1;PWP1
GO_Biological_Process_2021	MAPK cascade (GO:0000165)	7/303	4.024802e-03	2.025463e-01	0	0	3.702811e+00	2.042204e+01	PSMB4;TGFB1;PSMC3;PSPN;CUL3;ARAF;WDR83
GO_Biological_Process_2021	positive regulation of telomerase RNA localization to Cajal body (GO:1904874)	2/15	4.290855e-03	2.025463e-01	0	0	2.349704e+01	1.280887e+02	RUVBL2;NHP2
GO_Biological_Process_2021	ubiquinone biosynthetic process (GO:0006744)	2/15	4.290855e-03	2.025463e-01	0	0	2.349704e+01	1.280887e+02	NDUFA9;COQ8B
GO_Biological_Process_2021	mitotic metaphase plate congression (GO:0007080)	3/51	4.644412e-03	2.025463e-01	0	0	9.602713e+00	5.158664e+01	CUL3;CHMP1A;CHMP2B
GO_Biological_Process_2021	negative regulation of canonical Wnt signaling pathway (GO:0090090)	5/165	4.798135e-03	2.025463e-01	0	0	4.849409e+00	2.589356e+01	PSMB4;PSMC3;RUVBL2;CUL3;PFDN5
GO_Biological_Process_2021	proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	7/321	5.492822e-03	2.025463e-01	0	0	3.487338e+00	1.814920e+01	CDC20;RMND5B;PSMB4;PSMC3;CUL3;RAD23A;FBXO9
GO_Biological_Process_2021	midbody abscission (GO:0061952)	2/17	5.509949e-03	2.025463e-01	0	0	2.036205e+01	1.059071e+02	CHMP1A;CHMP2B
GO_Biological_Process_2021	regulation of gene silencing by RNA (GO:0060966)	3/55	5.740173e-03	2.025463e-01	0	0	8.862254e+00	4.573159e+01	NUP214;FMR1;POLR2E
GO_Biological_Process_2021	regulation of posttranscriptional gene silencing (GO:0060147)	3/55	5.740173e-03	2.025463e-01	0	0	8.862254e+00	4.573159e+01	NUP214;FMR1;POLR2E
GO_Biological_Process_2021	tight junction assembly (GO:0120192)	3/56	6.036196e-03	2.025463e-01	0	0	8.694603e+00	4.442926e+01	PARD6A;LSR;ESAM
GO_Biological_Process_2021	regulation of telomerase RNA localization to Cajal body (GO:1904872)	2/18	6.172038e-03	2.025463e-01	0	0	1.908846e+01	9.711687e+01	RUVBL2;NHP2
GO_Biological_Process_2021	ribosomal large subunit biogenesis (GO:0042273)	3/57	6.341196e-03	2.025463e-01	0	0	8.533161e+00	4.318366e+01	RSL1D1;PPAN;NHP2
GO_Biological_Process_2021	mitochondrial respiratory chain complex I assembly (GO:0032981)	3/58	6.655243e-03	2.025463e-01	0	0	8.377590e+00	4.199141e+01	NDUFA9;NDUFA11;NDUFS3
GO_Biological_Process_2021	NADH dehydrogenase complex assembly (GO:0010257)	3/58	6.655243e-03	2.025463e-01	0	0	8.377590e+00	4.199141e+01	NDUFA9;NDUFA11;NDUFS3
GO_Biological_Process_2021	regulation of canonical Wnt signaling pathway (GO:0060828)	6/253	6.726821e-03	2.025463e-01	0	0	3.782726e+00	1.891988e+01	PSMB4;TGFB1;PSMC3;RUVBL2;CUL3;PFDN5
GO_Biological_Process_2021	regulation of mitotic spindle assembly (GO:1901673)	2/19	6.868513e-03	2.025463e-01	0	0	1.796471e+01	8.947874e+01	CHMP1A;CHMP2B
GO_Biological_Process_2021	regulation of synaptic vesicle exocytosis (GO:2000300)	2/19	6.868513e-03	2.025463e-01	0	0	1.796471e+01	8.947874e+01	SNAPIN;FMR1
GO_Biological_Process_2021	mitotic cytokinetic process (GO:1902410)	2/20	7.598898e-03	2.025463e-01	0	0	1.696581e+01	8.278896e+01	CHMP1A;CHMP2B
GO_Biological_Process_2021	endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	5/185	7.714393e-03	2.025463e-01	0	0	4.306212e+00	2.094829e+01	NAPA;BCAP31;TRAPPC6A;CUL3;USE1
GO_Biological_Process_2021	positive regulation of protein-containing complex assembly (GO:0031334)	4/118	7.795539e-03	2.025463e-01	0	0	5.415022e+00	2.628562e+01	TGFB1;PSMC3;ERCC1;GTF2H4
GO_Biological_Process_2021	regulation of lipoprotein lipase activity (GO:0051004)	2/21	8.362722e-03	2.025463e-01	0	0	1.607206e+01	7.688830e+01	ANGPTL4;LMF1
GO_Biological_Process_2021	nucleotide-excision repair, DNA incision, 3'-to lesion (GO:0006295)	2/21	8.362722e-03	2.025463e-01	0	0	1.607206e+01	7.688830e+01	ERCC1;GTF2H4
GO_Biological_Process_2021	nucleotide-excision repair, preincision complex stabilization (GO:0006293)	2/21	8.362722e-03	2.025463e-01	0	0	1.607206e+01	7.688830e+01	ERCC1;GTF2H4
GO_Biological_Process_2021	rRNA modification (GO:0000154)	2/21	8.362722e-03	2.025463e-01	0	0	1.607206e+01	7.688830e+01	NHP2;BUD23
GO_Biological_Process_2021	COPII vesicle coating (GO:0048208)	3/63	8.363383e-03	2.025463e-01	0	0	7.677519e+00	3.672843e+01	NAPA;TRAPPC6A;CUL3
GO_Biological_Process_2021	vesicle coating (GO:0006901)	3/63	8.363383e-03	2.025463e-01	0	0	7.677519e+00	3.672843e+01	NAPA;TRAPPC6A;CUL3
GO_Biological_Process_2021	vesicle targeting, rough ER to cis-Golgi (GO:0048207)	3/63	8.363383e-03	2.025463e-01	0	0	7.677519e+00	3.672843e+01	NAPA;TRAPPC6A;CUL3
GO_Biological_Process_2021	regulation of mRNA catabolic process (GO:0061013)	4/122	8.745257e-03	2.025463e-01	0	0	5.230403e+00	2.478815e+01	NUP214;PSMB4;PSMC3;FMR1
GO_Biological_Process_2021	negative regulation of Wnt signaling pathway (GO:0030178)	5/191	8.787274e-03	2.025463e-01	0	0	4.166032e+00	1.972387e+01	PSMB4;PSMC3;RUVBL2;CUL3;PFDN5
GO_Biological_Process_2021	central nervous system development (GO:0007417)	6/268	8.807833e-03	2.025463e-01	0	0	3.563431e+00	1.686256e+01	SEMA6B;PSPN;LSR;VAX1;GRIN2D;HAPLN2
GO_Biological_Process_2021	regulation of centrosome cycle (GO:0046605)	2/22	9.159519e-03	2.025463e-01	0	0	1.526769e+01	7.165069e+01	CHMP1A;CHMP2B
GO_Biological_Process_2021	rRNA methylation (GO:0031167)	2/22	9.159519e-03	2.025463e-01	0	0	1.526769e+01	7.165069e+01	NSUN5;BUD23
GO_Biological_Process_2021	mitochondrial calcium ion homeostasis (GO:0051560)	2/22	9.159519e-03	2.025463e-01	0	0	1.526769e+01	7.165069e+01	BCAP31;LETM1
GO_Biological_Process_2021	gene expression (GO:0010467)	7/356	9.452868e-03	2.051622e-01	0	0	3.131989e+00	1.459957e+01	NUP214;CELF2;HNRNPA2B1;POLR2E;PWP1;MRPL10;LMF1
GO_Biological_Process_2021	positive regulation of histone acetylation (GO:0035066)	2/23	9.988827e-03	2.090519e-01	0	0	1.453993e+01	6.697509e+01	SMARCB1;RUVBL2
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase I (GO:0045943)	2/23	9.988827e-03	2.090519e-01	0	0	1.453993e+01	6.697509e+01	SMARCB1;PWP1
GO_Biological_Process_2021	positive regulation of viral life cycle (GO:1903902)	2/24	1.085019e-02	2.215054e-01	0	0	1.387832e+01	6.277960e+01	FMR1;CHMP2B
GO_Biological_Process_2021	COPII-coated vesicle budding (GO:0090114)	3/70	1.115087e-02	2.215054e-01	0	0	6.872961e+00	3.090246e+01	NAPA;TRAPPC6A;CUL3
GO_Biological_Process_2021	DNA-templated transcription, termination (GO:0006353)	3/70	1.115087e-02	2.215054e-01	0	0	6.872961e+00	3.090246e+01	CAVIN1;POLR2E;GTF2H4
GO_Biological_Process_2021	proteasomal protein catabolic process (GO:0010498)	5/205	1.168340e-02	2.215827e-01	0	0	3.871654e+00	1.722726e+01	RMND5B;PSMB4;PSMC3;CUL3;RAD23A
GO_Biological_Process_2021	endosome transport via multivesicular body sorting pathway (GO:0032509)	2/25	1.174315e-02	2.215827e-01	0	0	1.327425e+01	5.899719e+01	CHMP1A;CHMP2B
GO_Biological_Process_2021	regulation of spindle assembly (GO:0090169)	2/25	1.174315e-02	2.215827e-01	0	0	1.327425e+01	5.899719e+01	CHMP1A;CHMP2B
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	3/73	1.249039e-02	2.215827e-01	0	0	6.577409e+00	2.882744e+01	PSMB4;PSMC3;CALR
GO_Biological_Process_2021	transcription-coupled nucleotide-excision repair (GO:0006283)	3/73	1.249039e-02	2.215827e-01	0	0	6.577409e+00	2.882744e+01	ERCC1;POLR2E;GTF2H4
GO_Biological_Process_2021	chaperone cofactor-dependent protein refolding (GO:0051085)	2/26	1.266727e-02	2.215827e-01	0	0	1.272051e+01	5.557253e+01	DNAJB1;SDF2
GO_Biological_Process_2021	global genome nucleotide-excision repair (GO:0070911)	2/26	1.266727e-02	2.215827e-01	0	0	1.272051e+01	5.557253e+01	ERCC1;GTF2H4
GO_Biological_Process_2021	maturation of LSU-rRNA (GO:0000470)	2/26	1.266727e-02	2.215827e-01	0	0	1.272051e+01	5.557253e+01	RSL1D1;NHP2
GO_Biological_Process_2021	positive regulation of gene silencing by miRNA (GO:2000637)	2/27	1.362210e-02	2.313464e-01	0	0	1.221108e+01	5.245954e+01	TGFB1;FMR1
GO_Biological_Process_2021	melanosome organization (GO:0032438)	2/27	1.362210e-02	2.313464e-01	0	0	1.221108e+01	5.245954e+01	TRAPPC6A;SNAPIN
GO_Biological_Process_2021	RNA transport (GO:0050658)	3/76	1.391825e-02	2.313464e-01	0	0	6.306148e+00	2.695598e+01	NUP214;FMR1;HNRNPA2B1
GO_Biological_Process_2021	cellular response to UV (GO:0034644)	3/77	1.441396e-02	2.313464e-01	0	0	6.220616e+00	2.637266e+01	FMR1;RUVBL2;ERCC1
GO_Biological_Process_2021	positive regulation of type I interferon production (GO:0032481)	3/77	1.441396e-02	2.313464e-01	0	0	6.220616e+00	2.637266e+01	IRF3;POLR3D;POLR2E
GO_Biological_Process_2021	internal peptidyl-lysine acetylation (GO:0018393)	2/28	1.460719e-02	2.313464e-01	0	0	1.174083e+01	4.961957e+01	TAF6L;RUVBL2
GO_Biological_Process_2021	macromolecule catabolic process (GO:0009057)	2/28	1.460719e-02	2.313464e-01	0	0	1.174083e+01	4.961957e+01	TGFB1;USE1
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	3/78	1.491960e-02	2.331436e-01	0	0	6.137364e+00	2.580810e+01	PSMB4;PSMC3;CALR
GO_Biological_Process_2021	positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	3/79	1.543519e-02	2.380268e-01	0	0	6.056304e+00	2.526148e+01	CDC20;BCAP31;RAD23A
GO_Biological_Process_2021	regulation of mRNA stability (GO:0043488)	4/146	1.603747e-02	2.441029e-01	0	0	4.341109e+00	1.794105e+01	NUP214;PSMB4;PSMC3;FMR1
GO_Biological_Process_2021	maintenance of blood-brain barrier (GO:0035633)	2/30	1.666647e-02	2.463874e-01	0	0	1.090110e+01	4.463299e+01	LSR;ESAM
GO_Biological_Process_2021	multivesicular body assembly (GO:0036258)	2/30	1.666647e-02	2.463874e-01	0	0	1.090110e+01	4.463299e+01	CHMP1A;CHMP2B
GO_Biological_Process_2021	'de novo' posttranslational protein folding (GO:0051084)	2/31	1.773978e-02	2.463874e-01	0	0	1.052467e+01	4.243489e+01	DNAJB1;SDF2
GO_Biological_Process_2021	positive regulation of locomotion (GO:0040017)	2/31	1.773978e-02	2.463874e-01	0	0	1.052467e+01	4.243489e+01	TGFB1;CAVIN1
GO_Biological_Process_2021	positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	2/31	1.773978e-02	2.463874e-01	0	0	1.052467e+01	4.243489e+01	PSMC3;FMR1
GO_Biological_Process_2021	multivesicular body organization (GO:0036257)	2/31	1.773978e-02	2.463874e-01	0	0	1.052467e+01	4.243489e+01	CHMP1A;CHMP2B
GO_Biological_Process_2021	Wnt signaling pathway, planar cell polarity pathway (GO:0060071)	3/85	1.873858e-02	2.463874e-01	0	0	5.611458e+00	2.231772e+01	PSMB4;PARD6A;PSMC3
GO_Biological_Process_2021	7-methylguanosine mRNA capping (GO:0006370)	2/32	1.884166e-02	2.463874e-01	0	0	1.017333e+01	4.040528e+01	POLR2E;GTF2H4
GO_Biological_Process_2021	7-methylguanosine RNA capping (GO:0009452)	2/32	1.884166e-02	2.463874e-01	0	0	1.017333e+01	4.040528e+01	POLR2E;GTF2H4
GO_Biological_Process_2021	protein transmembrane import into intracellular organelle (GO:0044743)	2/32	1.884166e-02	2.463874e-01	0	0	1.017333e+01	4.040528e+01	PEX1;TOMM40L
GO_Biological_Process_2021	regulation of centrosome duplication (GO:0010824)	2/32	1.884166e-02	2.463874e-01	0	0	1.017333e+01	4.040528e+01	CHMP1A;CHMP2B
GO_Biological_Process_2021	hematopoietic progenitor cell differentiation (GO:0002244)	2/32	1.884166e-02	2.463874e-01	0	0	1.017333e+01	4.040528e+01	TGFB1;ARMC6
GO_Biological_Process_2021	positive regulation of endothelial cell migration (GO:0010595)	3/86	1.932426e-02	2.463874e-01	0	0	5.543570e+00	2.187711e+01	TGFB1;CALR;AAMP
GO_Biological_Process_2021	positive regulation of proteasomal protein catabolic process (GO:1901800)	3/86	1.932426e-02	2.463874e-01	0	0	5.543570e+00	2.187711e+01	PSMC3;FMR1;RAD23A
GO_Biological_Process_2021	regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	3/87	1.992000e-02	2.463874e-01	0	0	5.477298e+00	2.144927e+01	DNAJB1;PSMB4;PSMC3
GO_Biological_Process_2021	antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	2/33	1.997167e-02	2.463874e-01	0	0	9.844665e+00	3.852651e+01	BCAP31;CALR
GO_Biological_Process_2021	regulation of neurotransmitter secretion (GO:0046928)	2/33	1.997167e-02	2.463874e-01	0	0	9.844665e+00	3.852651e+01	SNAPIN;FMR1
GO_Biological_Process_2021	positive regulation of histone modification (GO:0031058)	2/33	1.997167e-02	2.463874e-01	0	0	9.844665e+00	3.852651e+01	FMR1;RUVBL2
GO_Biological_Process_2021	regulation of establishment of planar polarity (GO:0090175)	3/88	2.052581e-02	2.502835e-01	0	0	5.412585e+00	2.103370e+01	PSMB4;PARD6A;PSMC3
GO_Biological_Process_2021	protein destabilization (GO:0031648)	2/34	2.112941e-02	2.502835e-01	0	0	9.536538e+00	3.678328e+01	CUL3;RAD23A
GO_Biological_Process_2021	regulation of type I interferon production (GO:0032479)	3/89	2.114169e-02	2.502835e-01	0	0	5.349378e+00	2.062992e+01	IRF3;POLR3D;POLR2E
GO_Biological_Process_2021	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	3/89	2.114169e-02	2.502835e-01	0	0	5.349378e+00	2.062992e+01	PSMB4;PSMC3;FBXO9
GO_Biological_Process_2021	mitochondrial respiratory chain complex assembly (GO:0033108)	3/90	2.176765e-02	2.504413e-01	0	0	5.287624e+00	2.023748e+01	NDUFA9;NDUFA11;NDUFS3
GO_Biological_Process_2021	cellular response to virus (GO:0098586)	2/35	2.231447e-02	2.504413e-01	0	0	9.247086e+00	3.516223e+01	IRF3;FMR1
GO_Biological_Process_2021	regulation of mitotic spindle organization (GO:0060236)	2/35	2.231447e-02	2.504413e-01	0	0	9.247086e+00	3.516223e+01	CHMP1A;CHMP2B
GO_Biological_Process_2021	positive regulation of interferon-beta production (GO:0032728)	2/36	2.352644e-02	2.504413e-01	0	0	8.974661e+00	3.365166e+01	IRF3;POLR3D
GO_Biological_Process_2021	positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	2/36	2.352644e-02	2.504413e-01	0	0	8.974661e+00	3.365166e+01	PNKP;HNRNPA2B1
GO_Biological_Process_2021	intracellular protein transport (GO:0006886)	6/336	2.418178e-02	2.504413e-01	0	0	2.819336e+00	1.049401e+01	NUP214;NAPA;TGFB1;RANBP3;SNX9;CALR
GO_Biological_Process_2021	nucleotide-excision repair, DNA incision, 5'-to lesion (GO:0006296)	2/37	2.476491e-02	2.504413e-01	0	0	8.717802e+00	3.224129e+01	ERCC1;GTF2H4
GO_Biological_Process_2021	regulation of cell cycle phase transition (GO:1901987)	3/95	2.504860e-02	2.504413e-01	0	0	4.998989e+00	1.843096e+01	CDC20;PSMB4;PSMC3
GO_Biological_Process_2021	DNA-templated transcription, initiation (GO:0006352)	4/168	2.533625e-02	2.504413e-01	0	0	3.754573e+00	1.380000e+01	CAVIN1;NR1I3;POLR2E;GTF2H4
GO_Biological_Process_2021	response to estradiol (GO:0032355)	2/38	2.602951e-02	2.504413e-01	0	0	8.475214e+00	3.092203e+01	TGFB1;RUVBL2
GO_Biological_Process_2021	regulation of intracellular transport (GO:0032386)	2/39	2.731982e-02	2.504413e-01	0	0	8.245738e+00	2.968584e+01	NUP214;REEP5
GO_Biological_Process_2021	nucleotide-excision repair, DNA incision (GO:0033683)	2/39	2.731982e-02	2.504413e-01	0	0	8.245738e+00	2.968584e+01	ERCC1;GTF2H4
GO_Biological_Process_2021	ribosomal small subunit biogenesis (GO:0042274)	2/40	2.863546e-02	2.504413e-01	0	0	8.028340e+00	2.852557e+01	NOB1;METTL17
GO_Biological_Process_2021	cellular response to DNA damage stimulus (GO:0006974)	6/350	2.875905e-02	2.504413e-01	0	0	2.702658e+00	9.591200e+00	IRF3;PNKP;FMR1;ERCC1;ALKBH7;GTF2H4
