Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of cell communication (GO:0010648)	3/21	9.612942e-06	2.678182e-03	0	0	8.982883e+01	1.037739e+03	IL11;GLRA1;OPRM1
GO_Biological_Process_2021	negative regulation of signaling (GO:0023057)	3/25	1.653199e-05	2.678182e-03	0	0	7.348157e+01	8.090478e+02	GLRA1;IL11;OPRM1
GO_Biological_Process_2021	neuropeptide signaling pathway (GO:0007218)	3/63	2.708016e-04	2.924658e-02	0	0	2.689189e+01	2.208933e+02	GLRA1;AGRP;OPRM1
GO_Biological_Process_2021	inorganic anion transport (GO:0015698)	2/54	5.226158e-03	1.338975e-01	0	0	2.014980e+01	1.058686e+02	GLRA1;CLCNKB
GO_Biological_Process_2021	negative regulation of smooth muscle cell apoptotic process (GO:0034392)	1/5	9.960969e-03	1.338975e-01	0	0	1.279231e+02	5.896078e+02	APOH
GO_Biological_Process_2021	cellular response to sodium arsenite (GO:1903936)	1/5	9.960969e-03	1.338975e-01	0	0	1.279231e+02	5.896078e+02	MAPK13
GO_Biological_Process_2021	synaptic transmission, glycinergic (GO:0060012)	1/5	9.960969e-03	1.338975e-01	0	0	1.279231e+02	5.896078e+02	GLRA1
GO_Biological_Process_2021	G protein-coupled opioid receptor signaling pathway (GO:0038003)	1/5	9.960969e-03	1.338975e-01	0	0	1.279231e+02	5.896078e+02	OPRM1
GO_Biological_Process_2021	positive regulation of feeding behavior (GO:2000253)	1/5	9.960969e-03	1.338975e-01	0	0	1.279231e+02	5.896078e+02	AGRP
GO_Biological_Process_2021	response to sodium arsenite (GO:1903935)	1/5	9.960969e-03	1.338975e-01	0	0	1.279231e+02	5.896078e+02	MAPK13
GO_Biological_Process_2021	catechol-containing compound biosynthetic process (GO:0009713)	1/5	9.960969e-03	1.338975e-01	0	0	1.279231e+02	5.896078e+02	DBH
GO_Biological_Process_2021	dopamine catabolic process (GO:0042420)	1/5	9.960969e-03	1.338975e-01	0	0	1.279231e+02	5.896078e+02	DBH
GO_Biological_Process_2021	chloride transport (GO:0006821)	2/76	1.012444e-02	1.338975e-01	0	0	1.414367e+01	6.495909e+01	GLRA1;CLCNKB
GO_Biological_Process_2021	cellular response to salt (GO:1902075)	1/6	1.194153e-02	1.338975e-01	0	0	1.023333e+02	4.531047e+02	MAPK13
GO_Biological_Process_2021	regulation of transmission of nerve impulse (GO:0051969)	1/6	1.194153e-02	1.338975e-01	0	0	1.023333e+02	4.531047e+02	GLRA1
GO_Biological_Process_2021	norepinephrine biosynthetic process (GO:0042421)	1/6	1.194153e-02	1.338975e-01	0	0	1.023333e+02	4.531047e+02	DBH
GO_Biological_Process_2021	negative regulation of myeloid cell apoptotic process (GO:0033033)	1/6	1.194153e-02	1.338975e-01	0	0	1.023333e+02	4.531047e+02	APOH
GO_Biological_Process_2021	ruffle assembly (GO:0097178)	1/6	1.194153e-02	1.338975e-01	0	0	1.023333e+02	4.531047e+02	AIF1L
GO_Biological_Process_2021	negative regulation of centriole replication (GO:0046600)	1/7	1.391823e-02	1.338975e-01	0	0	8.527350e+01	3.645063e+02	KAT2B
GO_Biological_Process_2021	surfactant homeostasis (GO:0043129)	1/7	1.391823e-02	1.338975e-01	0	0	8.527350e+01	3.645063e+02	NAPSA
GO_Biological_Process_2021	chemical homeostasis within a tissue (GO:0048875)	1/7	1.391823e-02	1.338975e-01	0	0	8.527350e+01	3.645063e+02	NAPSA
GO_Biological_Process_2021	norepinephrine metabolic process (GO:0042415)	1/7	1.391823e-02	1.338975e-01	0	0	8.527350e+01	3.645063e+02	DBH
GO_Biological_Process_2021	catecholamine catabolic process (GO:0042424)	1/7	1.391823e-02	1.338975e-01	0	0	8.527350e+01	3.645063e+02	DBH
GO_Biological_Process_2021	negative regulation of nervous system process (GO:0031645)	1/7	1.391823e-02	1.338975e-01	0	0	8.527350e+01	3.645063e+02	GLRA1
GO_Biological_Process_2021	inhibitory postsynaptic potential (GO:0060080)	1/7	1.391823e-02	1.338975e-01	0	0	8.527350e+01	3.645063e+02	GLRA1
GO_Biological_Process_2021	adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway (GO:0007197)	1/8	1.589107e-02	1.338975e-01	0	0	7.308791e+01	3.027300e+02	OPRM1
GO_Biological_Process_2021	mitochondrial RNA processing (GO:0000963)	1/8	1.589107e-02	1.338975e-01	0	0	7.308791e+01	3.027300e+02	TRMT10A
GO_Biological_Process_2021	mitochondrial tRNA processing (GO:0090646)	1/8	1.589107e-02	1.338975e-01	0	0	7.308791e+01	3.027300e+02	TRMT10A
GO_Biological_Process_2021	negative regulation of muscle cell apoptotic process (GO:0010656)	1/8	1.589107e-02	1.338975e-01	0	0	7.308791e+01	3.027300e+02	APOH
GO_Biological_Process_2021	positive regulation of lipoprotein lipase activity (GO:0051006)	1/8	1.589107e-02	1.338975e-01	0	0	7.308791e+01	3.027300e+02	APOH
GO_Biological_Process_2021	regulation of protein ADP-ribosylation (GO:0010835)	1/8	1.589107e-02	1.338975e-01	0	0	7.308791e+01	3.027300e+02	KAT2B
GO_Biological_Process_2021	internal protein amino acid acetylation (GO:0006475)	1/8	1.589107e-02	1.338975e-01	0	0	7.308791e+01	3.027300e+02	KAT2B
GO_Biological_Process_2021	regulation of smooth muscle cell apoptotic process (GO:0034391)	1/9	1.786007e-02	1.338975e-01	0	0	6.394872e+01	2.574056e+02	APOH
GO_Biological_Process_2021	negative regulation of fibrinolysis (GO:0051918)	1/9	1.786007e-02	1.338975e-01	0	0	6.394872e+01	2.574056e+02	APOH
GO_Biological_Process_2021	positive regulation of triglyceride lipase activity (GO:0061365)	1/9	1.786007e-02	1.338975e-01	0	0	6.394872e+01	2.574056e+02	APOH
GO_Biological_Process_2021	regulation of complement-dependent cytotoxicity (GO:1903659)	1/9	1.786007e-02	1.338975e-01	0	0	6.394872e+01	2.574056e+02	IL11
GO_Biological_Process_2021	phenol-containing compound biosynthetic process (GO:0046189)	1/9	1.786007e-02	1.338975e-01	0	0	6.394872e+01	2.574056e+02	DBH
GO_Biological_Process_2021	plasminogen activation (GO:0031639)	1/9	1.786007e-02	1.338975e-01	0	0	6.394872e+01	2.574056e+02	APOH
GO_Biological_Process_2021	cellular response to organonitrogen compound (GO:0071417)	2/103	1.803978e-02	1.338975e-01	0	0	1.034862e+01	4.155153e+01	GLRA1;MAPK13
GO_Biological_Process_2021	chromatin remodeling (GO:0006338)	2/103	1.803978e-02	1.338975e-01	0	0	1.034862e+01	4.155153e+01	KAT2B;MPND
GO_Biological_Process_2021	cellular response to peptide hormone stimulus (GO:0071375)	2/106	1.903963e-02	1.338975e-01	0	0	1.004858e+01	3.980478e+01	KAT2B;GCG
GO_Biological_Process_2021	proteolysis (GO:0006508)	3/287	1.953986e-02	1.338975e-01	0	0	5.617434e+00	2.210628e+01	CPA3;NAPSA;PRSS16
GO_Biological_Process_2021	positive regulation of behavior (GO:0048520)	1/10	1.982523e-02	1.338975e-01	0	0	5.684046e+01	2.228601e+02	AGRP
GO_Biological_Process_2021	positive regulation of coagulation (GO:0050820)	1/10	1.982523e-02	1.338975e-01	0	0	5.684046e+01	2.228601e+02	APOH
GO_Biological_Process_2021	negative regulation of hormone secretion (GO:0046888)	1/10	1.982523e-02	1.338975e-01	0	0	5.684046e+01	2.228601e+02	IL11
GO_Biological_Process_2021	positive regulation of hemostasis (GO:1900048)	1/10	1.982523e-02	1.338975e-01	0	0	5.684046e+01	2.228601e+02	APOH
GO_Biological_Process_2021	peptidyl-lysine acetylation (GO:0018394)	1/10	1.982523e-02	1.338975e-01	0	0	5.684046e+01	2.228601e+02	KAT2B
GO_Biological_Process_2021	negative regulation of centrosome duplication (GO:0010826)	1/11	2.178655e-02	1.338975e-01	0	0	5.115385e+01	1.957383e+02	KAT2B
GO_Biological_Process_2021	positive regulation of acrosome reaction (GO:2000344)	1/11	2.178655e-02	1.338975e-01	0	0	5.115385e+01	1.957383e+02	GLRA1
GO_Biological_Process_2021	regulation of feeding behavior (GO:0060259)	1/12	2.374404e-02	1.338975e-01	0	0	4.650117e+01	1.739341e+02	AGRP
GO_Biological_Process_2021	angiotensin maturation (GO:0002003)	1/12	2.374404e-02	1.338975e-01	0	0	4.650117e+01	1.739341e+02	CPA3
GO_Biological_Process_2021	regulation of angiotensin levels in blood (GO:0002002)	1/12	2.374404e-02	1.338975e-01	0	0	4.650117e+01	1.739341e+02	CPA3
GO_Biological_Process_2021	megakaryocyte differentiation (GO:0030219)	1/12	2.374404e-02	1.338975e-01	0	0	4.650117e+01	1.739341e+02	IL11
GO_Biological_Process_2021	negative regulation of hemostasis (GO:1900047)	1/12	2.374404e-02	1.338975e-01	0	0	4.650117e+01	1.739341e+02	APOH
GO_Biological_Process_2021	catecholamine biosynthetic process (GO:0042423)	1/12	2.374404e-02	1.338975e-01	0	0	4.650117e+01	1.739341e+02	DBH
GO_Biological_Process_2021	regulation of fibrinolysis (GO:0051917)	1/13	2.569772e-02	1.338975e-01	0	0	4.262393e+01	1.560613e+02	APOH
GO_Biological_Process_2021	regulation of response to stress (GO:0080134)	1/13	2.569772e-02	1.338975e-01	0	0	4.262393e+01	1.560613e+02	OPRM1
GO_Biological_Process_2021	muscle contraction (GO:0006936)	2/129	2.744629e-02	1.338975e-01	0	0	8.219229e+00	2.955244e+01	GLRA1;TMOD4
