Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154)	5/55	4.699344e-05	4.943894e-02	0	0	1.424892e+01	1.419977e+02	NGFR;DDX3X;PIH1D1;KLF4;AQP1
GO_Biological_Process_2021	positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	4/34	1.010459e-04	4.943894e-02	0	0	1.888190e+01	1.737123e+02	NGFR;KLF5;PPARG;KLF4
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	16/764	1.271066e-04	4.943894e-02	0	0	3.193182e+00	2.864439e+01	COL18A1;CLEC11A;TBC1D8;WNT9A;CTCF;KLF4;PRLR;PGF;IGF1R;CIAO1;EFNB2;TIAM1;TFAP4;CAPNS1;PRKRA;EEF1E1
GO_Biological_Process_2021	negative regulation of endothelial cell proliferation (GO:0001937)	4/37	1.415121e-04	4.943894e-02	0	0	1.716277e+01	1.521158e+02	NGFR;MEF2C;KRIT1;PPARG
GO_Biological_Process_2021	positive regulation of cell population proliferation (GO:0008284)	12/474	1.678172e-04	4.943894e-02	0	0	3.816214e+00	3.317296e+01	EFNB2;TIAM1;MEF2C;CAPNS1;CLEC11A;TBC1D8;CCN4;PRLR;PGF;AQP1;IGF1R;CIAO1
GO_Biological_Process_2021	negative regulation of cellular component organization (GO:0051129)	5/80	2.811813e-04	6.424804e-02	0	0	9.487290e+00	7.757293e+01	DDX3X;FAP;PON1;APOA2;PRKD1
GO_Biological_Process_2021	regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)	4/45	3.053199e-04	6.424804e-02	0	0	1.380836e+01	1.117670e+02	NGFR;KLF5;PPARG;KLF4
GO_Biological_Process_2021	negative regulation of cell population proliferation (GO:0008285)	10/379	4.293314e-04	7.905065e-02	0	0	3.941067e+00	3.055620e+01	COL18A1;TFAP4;FAP;PRKRA;MARVELD3;PPARG;WNT9A;CTCF;EEF1E1;KLF4
GO_Biological_Process_2021	negative regulation of vascular endothelial cell proliferation (GO:1905563)	2/5	5.075390e-04	8.306721e-02	0	0	9.320657e+01	7.070592e+02	MEF2C;PPARG
GO_Biological_Process_2021	negative regulation of cysteine-type endopeptidase activity (GO:2000117)	4/53	5.739223e-04	8.453876e-02	0	0	1.154927e+01	8.619240e+01	NGFR;DDX3X;KLF4;AQP1
