Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of protein-containing complex assembly (GO:0031334)	4/118	3.202883e-05	1.633470e-02	0	0	2.580247e+01	2.670265e+02	RPA1;BAX;CD36;BID
GO_Biological_Process_2021	basement membrane assembly (GO:0070831)	2/9	8.313599e-05	2.119968e-02	0	0	1.966700e+02	1.847721e+03	RAMP2;LAMB1
GO_Biological_Process_2021	basement membrane organization (GO:0071711)	2/16	2.752543e-04	3.572779e-02	0	0	9.830049e+01	8.058493e+02	RAMP2;LAMB1
GO_Biological_Process_2021	release of cytochrome c from mitochondria (GO:0001836)	2/18	3.502725e-04	3.572779e-02	0	0	8.600431e+01	6.843190e+02	BAX;BID
GO_Biological_Process_2021	regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028)	2/18	3.502725e-04	3.572779e-02	0	0	8.600431e+01	6.843190e+02	BAX;BID
GO_Biological_Process_2021	extracellular matrix assembly (GO:0085029)	2/24	6.282160e-04	4.839054e-02	0	0	6.252978e+01	4.610087e+02	RAMP2;LAMB1
GO_Biological_Process_2021	positive regulation of release of cytochrome c from mitochondria (GO:0090200)	2/25	6.821850e-04	4.839054e-02	0	0	5.980810e+01	4.360136e+02	BAX;BID
GO_Biological_Process_2021	regulation of protein-containing complex assembly (GO:0043254)	3/116	7.590672e-04	4.839054e-02	0	0	1.882680e+01	1.352408e+02	BAX;CD36;BID
GO_Biological_Process_2021	extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	2/30	9.844084e-04	5.578314e-02	0	0	4.911576e+01	3.400515e+02	BAX;BID
GO_Biological_Process_2021	apoptotic mitochondrial changes (GO:0008637)	2/33	1.191416e-03	5.863420e-02	0	0	4.435595e+01	2.986314e+02	BAX;BID
GO_Biological_Process_2021	positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030)	2/34	1.264659e-03	5.863420e-02	0	0	4.296767e+01	2.867212e+02	BAX;BID
GO_Biological_Process_2021	lysosome localization (GO:0032418)	2/37	1.497024e-03	6.242702e-02	0	0	3.927882e+01	2.554803e+02	RAB34;KIT
GO_Biological_Process_2021	positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	2/40	1.748208e-03	6.242702e-02	0	0	3.617241e+01	2.296646e+02	BAX;BID
GO_Biological_Process_2021	regulation of release of cytochrome c from mitochondria (GO:0090199)	2/41	1.836089e-03	6.242702e-02	0	0	3.524315e+01	2.220360e+02	BAX;BID
GO_Biological_Process_2021	T cell differentiation (GO:0030217)	2/41	1.836089e-03	6.242702e-02	0	0	3.524315e+01	2.220360e+02	KIT;TCF7
GO_Biological_Process_2021	protein transport (GO:0015031)	4/369	2.419334e-03	7.403503e-02	0	0	7.956976e+00	4.793492e+01	RAMP2;LMAN2L;RAB34;CD36
